city	lat1	lon1	lat2	lon2
New York	40.917622	-73.689484	40.495682	-74.255653
Washington	39.00375	-76.904503	38.799461	-77.147057
Chicago	42.07436	-87.397217	41.624851	-87.968437
Paris	49.04694	2.63791	48.658291	2.08679
London	51.686031	0.28036	51.261318	-0.563
Los Angeles	34.33926	-117.929466	33.694679	-118.723549
San Francisco	37.832371	-122.355301	37.604031	-123.013657
Sao Paulo	-23.39566	-46.36499	-23.784969	-46.809319
Singapore	1.30287	103.86235	1.28469	103.84417
Kuala Lumpur	3.17105	101.73587	3.13391	101.698669
Toronto	43.855419	-79.115623	43.58474	-79.639297
Beijing	40.159191	116.638641	39.75872	116.04142
Shanghai	31.514999	121.804611	30.975	121.10157
Jakarta	-6.06828	106.968613	-6.40661	106.67218
Tokyo	35.81749	139.918961	35.523449	139.562881
Seoul	37.692902	127.18615	37.421341	126.7686
Delhi	28.88382	77.343689	28.404181	76.83831
Mumbai	19.273821	72.978432	18.878559	72.773331
Mexico City	19.69857	-98.742912	18.94665	-99.507149
Manila	14.68045	121.086647	14.49648	120.934471
Moscow	56.022171	38.09008	55.4907	37.31926
Cairo	30.1171	31.311171	30.00688	31.20372
Buenos Aires	-34.41465	-58.30043	-34.716068	-58.638939
Dhaka	23.72477	90.423462	23.69483	90.390762
Istanbul	41.23595	29.45787	40.802731	28.448009
Rio de Janeiro	-22.74906	-43.101261	-23.078119	-43.795799
Lagos	6.46103	3.44309	6.42833	3.38106
Houston	30.236691	-94.943367	29.39027	-95.893944
Philadelphia	40.154541	-74.941788	39.864841	-75.280327
Phoenix	33.995579	-111.578659	33.17532	-112.391838
San Antonio	29.73105	-98.222961	29.21747	-98.764
San Diego	33.114231	-116.798203	32.507488	-117.321899
Boston	42.397259	-70.923042	42.227859	-71.191208
Seattle	47.745071	-122.176193	47.422359	-122.472153
Austin	30.519581	-97.5634	30.060181	-97.935928
New Orleans	30.17457	-89.626938	29.765921	-90.294479
Las Vegas	36.353539	-114.914658	35.990181	-115.40657
Montreal	45.704788	-73.476418	45.413479	-73.976608
Lima	-11.99509	-76.927673	-12.21334	-77.170151
Bogota	4.70989	-74.055634	4.56282	-74.171494
Hong Kong	22.2952	114.261414	22.194201	114.116302
Bangkok	13.95495	100.685783	13.64914	100.40609
Ho Chi Minh City	10.8422	106.725327	10.73265	106.620651
Hanoi	21.06872	105.878868	20.97431	105.788963
Santiago	-33.392071	-70.562866	-33.534012	-70.733009
Taipei City	25.211	121.665817	24.96051	121.45713
Berlin	52.667511	13.72616	52.330269	13.05355
Madrid	40.643299	-3.51821	40.312012	-3.88881
Milan	45.547058	9.2763	45.40736	9.07683
Melbourne	-37.540112	145.507736	-38.411251	144.553207
