EntityID,EntityName
2084,Winery
3578,ATM
4013,Train Station
4100,Commuter Rail Station
4170,Bus Station
4444,Named Place
4482,Ferry Terminal
4493,Marina
4580,Public Sports Airport
4581,Airport
5000,Business Facility
5400,Grocery Store
5511,Auto Dealerships
5512,Auto Dealership-Used Cars
5540,Petrol/Gasoline Station
5571,Motorcycle Dealership
5800,Restaurant
5813,Nightlife
5999,Historical Monument
6000,Bank
6512,Shopping
7011,Hotel
7012,Ski Resort
7013,Other Accommodation
7014,Ski Lift
7389,Tourist Information
7510,Rental Car Agency
7520,Parking Lot
7521,Parking Garage/House
7522,Park & Ride
7538,Auto Service & Maintenance
7832,Cinema
7897,Rest Area
7929,Performing Arts
7933,Bowling Centre
7940,Sports Complex
7947,Park/Recreation Area
7985,Casino
7990,Convention/Exhibition Centre
7992,Golf Course
7994,Civic/Community Centre
7996,Amusement Park
7997,Sports Centre
7998,Ice Skating Rink
7999,Tourist Attraction
8060,Hospital
8200,Higher Education
8211,School
8231,Library
8410,Museum
8699,Automobile Club
9121,City Hall
9211,Court House
9221,Police Station
9517,Campground
9522,Truck Stop/Plaza
9525,Government Office
9530,Post Office
9535,Convenience Store
9537,Clothing Store
9545,Department Store
9560,Home Specialty Store
9565,Pharmacy
9567,Specialty Store
9568,Sporting Goods Store
9583,Medical Service
9590,Residential Area/Building
9591,Cemetery
9592,Highway Exit
9593,Transportation Service
9710,Weigh Station
9714,Cargo Centre
9715,Military Base
9718,Animal Park
9719,Truck Dealership
9986,Home Improvement & Hardware Store
9987,Consumer Electronics Store
9988,Office Supply & Services Store
9991,Industrial Zone
9992,Place of Worship
9993,Embassy
9994,County Council
9995,Bookstore
9996,Coffee Shop
9998,Hamlet
9999,Border Crossing
